"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,26,0.2,1.41659457037476,1.62740067781695,1.20104518726206,1.06456256711018,0.00489266666666667,1.91895427364677e-05,0.00650466666666667,4.03987778148272e-05,0.005446,2.8153135045015e-05,100,">=1000",">=1000"
"2",0.005,1000,1.5,0.7,26,0.2,1.41659457037476,1.62740067781695,1.20104518726206,1.06456256711018,0.00489266666666667,1.91895427364677e-05,0.00650466666666667,4.03987778148272e-05,0.005446,2.8153135045015e-05,1000,"283","561.943666666667"
"3",0.005,1000,1.5,0.7,26,0.4,1.46012008448009,1.83442941592924,0.96977872588895,0.848480256168337,0.00479333333333333,1.83534066911193e-05,0.00638166666666667,3.65848588418362e-05,0.004309,1.88551373791264e-05,100,"330","669.02"
"4",0.005,1000,1.5,0.7,26,0.4,1.46012008448009,1.83442941592924,0.96977872588895,0.848480256168337,0.00479333333333333,1.83534066911193e-05,0.00638166666666667,3.65848588418362e-05,0.004309,1.88551373791264e-05,1000,"50","101.366666666667"
"5",0.005,1000,1.5,0.4,28,0.2,1.33569757912268,1.66712079622374,1.10523624205337,1.18509492924385,0.00460066666666667,1.73989992219629e-05,0.00562766666666667,2.98849962209625e-05,0.00462766666666667,2.14501846170946e-05,100,">=1000",">=1000"
"6",0.005,1000,1.5,0.4,28,0.2,1.33569757912268,1.66712079622374,1.10523624205337,1.18509492924385,0.00460066666666667,1.73989992219629e-05,0.00562766666666667,2.98849962209625e-05,0.00462766666666667,2.14501846170946e-05,1000,"220","587.326666666667"
"7",0.005,1000,1.5,0.4,28,0.4,1.41896008043485,1.91708077935974,0.910674764744564,0.781324615803898,0.004493,1.60473001000333e-05,0.00565566666666667,2.88533856841169e-05,0.00374666666666667,1.41251972879849e-05,100,"338","887.700666666667"
"8",0.005,1000,1.5,0.4,28,0.4,1.41896008043485,1.91708077935974,0.910674764744564,0.781324615803898,0.004493,1.60473001000333e-05,0.00565566666666667,2.88533856841169e-05,0.00374666666666667,1.41251972879849e-05,1000,"48","126.064"
"9",0.005,1000,1.5,0.1,43,0.2,1.10366251937777,0.995284151957772,0.940587850825931,0.819182722464255,0.00503933333333333,1.38837474713794e-05,0.00469766666666667,1.41923253306658e-05,0.00405866666666667,1.14823856841169e-05,100,">=1000",">=1000"
"10",0.005,1000,1.5,0.1,43,0.2,1.10366251937777,0.995284151957772,0.940587850825931,0.819182722464255,0.00503933333333333,1.38837474713794e-05,0.00469766666666667,1.41923253306658e-05,0.00405866666666667,1.14823856841169e-05,1000,"314","1804.34866666667"
"11",0.005,1000,1.5,0.1,43,0.4,1.13077968102147,1.19643414334025,0.799771029386402,0.63346644900627,0.00501866666666667,1.41163570078915e-05,0.00470533333333333,1.41278808491719e-05,0.00341266666666667,8.72994953873513e-06,100,"642","3756.556"
"12",0.005,1000,1.5,0.1,43,0.4,1.13077968102147,1.19643414334025,0.799771029386402,0.63346644900627,0.00501866666666667,1.41163570078915e-05,0.00470533333333333,1.41278808491719e-05,0.00341266666666667,8.72994953873513e-06,1000,"71","415.444666666667"
"13",0.005,1000,2,0.7,17,0.2,2.02385851128414,2.85743411196326,1.63056696204378,2.09524351192642,0.005082,2.11496592197399e-05,0.009683,8.39998442814271e-05,0.00776233333333333,5.64920118928532e-05,100,"642","968.35"
