"","E_It","N","R0","k","effect","inter_day","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","approx","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,0.2,27,1.4984102840402,1.71007155824146,1.17785558885903,1.10495525822445,0.004945,1.912635045015e-05,0.00665133333333333,3.89127358008225e-05,0.00540166666666667,2.76942286317661e-05,100,531.881828571148,"689","1432.89033333333"
"2",0.005,1000,1.5,0.7,0.2,27,1.4984102840402,1.71007155824146,1.17785558885903,1.10495525822445,0.004945,1.912635045015e-05,0.00665133333333333,3.89127358008225e-05,0.00540166666666667,2.76942286317661e-05,1000,163.419468793383,"138","286.994"
"3",0.005,1000,1.5,0.7,0.4,26,1.47089379385713,1.61251791418777,0.956286114671802,0.835283184018306,0.00477933333333333,1.86855347338002e-05,0.00642433333333333,3.81116451039235e-05,0.00424266666666667,1.83132172946538e-05,100,192.48245435311,"201","410.978"
"4",0.005,1000,1.5,0.7,0.4,26,1.47089379385713,1.61251791418777,0.956286114671802,0.835283184018306,0.00477933333333333,1.86855347338002e-05,0.00642433333333333,3.81116451039235e-05,0.00424266666666667,1.83132172946538e-05,1000,58.2273946822461,"43","87.9206666666667"
"5",0.005,1000,1.5,0.4,0.2,28,1.32437162195983,1.59054138335322,1.13011135142487,1.13724778622754,0.00470866666666667,1.77517087918195e-05,0.005694,3.01670863621207e-05,0.00489633333333333,2.32886827831499e-05,100,1517.5604486853,">=1000",">=1000"
"6",0.005,1000,1.5,0.4,0.2,28,1.32437162195983,1.59054138335322,1.13011135142487,1.13724778622754,0.00470866666666667,1.77517087918195e-05,0.005694,3.01670863621207e-05,0.00489633333333333,2.32886827831499e-05,1000,551.460697824079,"330","870.32"
"7",0.005,1000,1.5,0.4,0.4,28,1.3264476750657,1.47713974197475,0.907093152679756,0.791466215859035,0.004722,1.78179886628876e-05,0.00573066666666667,3.03989258641769e-05,0.003958,1.54367149049683e-05,100,292.245812176486,"275","742.225"
"8",0.005,1000,1.5,0.4,0.4,28,1.3264476750657,1.47713974197475,0.907093152679756,0.791466215859035,0.004722,1.78179886628876e-05,0.00573066666666667,3.03989258641769e-05,0.003958,1.54367149049683e-05,1000,104.026394006986,"64","172.736"
"9",0.005,1000,1.5,0.1,0.2,36,1.15834328745182,1.26110107240558,0.97201878052363,0.932263975129883,0.00432366666666667,1.18902032899856e-05,0.00432366666666667,1.46044413693453e-05,0.00361566666666667,1.00646427698122e-05,100,2403.73343373507,">=1000",">=1000"
"10",0.005,1000,1.5,0.1,0.2,36,1.15834328745182,1.26110107240558,0.97201878052363,0.932263975129883,0.00432366666666667,1.18902032899856e-05,0.00432366666666667,1.46044413693453e-05,0.00361566666666667,1.00646427698122e-05,1000,1417.58716962172,"283","1586.781"
"11",0.005,1000,1.5,0.1,0.4,32,1.21205317652546,1.4145322970283,0.846812110557241,0.777540925722299,0.00412233333333333,1.14291776147605e-05,0.00435233333333333,1.50698845170612e-05,0.00306866666666667,8.50011826164277e-06,100,631.540635338671,"361","1892.723"
"12",0.005,1000,1.5,0.1,0.4,32,1.21205317652546,1.4145322970283,0.846812110557241,0.777540925722299,0.00412233333333333,1.14291776147605e-05,0.00435233333333333,1.50698845170612e-05,0.00306866666666667,8.50011826164277e-06,1000,371.302214027959,"70","367.01"
"13",0.005,1000,2,0.7,0.2,16,2.0846840419636,3.49778736703727,1.64930322342695,2.35439315497774,0.00462866666666667,1.72598648438368e-05,0.00896933333333333,7.5542240302323e-05,0.00709533333333333,4.93526957874847e-05,100,454.548989117542,"494","736.718666666667"
"14",0.005,1000,2,0.7,0.2,16,2.0846840419636,3.49778736703727,1.64930322342695,2.35439315497774,0.00462866666666667,1.72598648438368e-05,0.00896933333333333,7.5542240302323e-05,0.00709533333333333,4.93526957874847e-05,1000,157.671503030293,"158","235.630666666667"
"15",0.005,1000,2,0.7,0.4,18,2.0959470411389,3.21340142129563,1.28538903061505,1.31692953118461,0.00538466666666667,2.48156367678115e-05,0.010196,8.82843454484828e-05,0.00645766666666667,3.95874036901189e-05,100,101.674520923799,"125","189.291666666667"
"16",0.005,1000,2,0.7,0.4,18,2.0959470411389,3.21340142129563,1.28538903061505,1.31692953118461,0.00538466666666667,2.48156367678115e-05,0.010196,8.82843454484828e-05,0.00645766666666667,3.95874036901189e-05,1000,35.062906680466,"36","54.516"
"17",0.005,1000,2,0.4,0.2,18,1.91132193257984,2.96765630676059,1.50470729795983,2.00590806608907,0.00455466666666667,1.83197848171613e-05,0.00821733333333333,6.43862282983217e-05,0.00652,4.37841947315772e-05,100,542.107804184591,"517","965.066666666667"
"18",0.005,1000,2,0.4,0.2,18,1.91132193257984,2.96765630676059,1.50470729795983,2.00590806608907,0.00455466666666667,1.83197848171613e-05,0.00821733333333333,6.43862282983217e-05,0.00652,4.37841947315772e-05,1000,225.904368641673,"142","265.066666666667"
"19",0.005,1000,2,0.4,0.4,19,1.92118159060478,2.91952005451978,1.19808890744036,1.15057249835518,0.004879,2.02277682560854e-05,0.008534,6.46077132377459e-05,0.005476,2.97573431143715e-05,100,144.7203023307,"150","281.15"
"20",0.005,1000,2,0.4,0.4,19,1.92118159060478,2.91952005451978,1.19808890744036,1.15057249835518,0.004879,2.02277682560854e-05,0.008534,6.46077132377459e-05,0.005476,2.97573431143715e-05,1000,59.4878215085368,"42","78.722"
"21",0.005,1000,2,0.1,0.2,22,1.55284042183765,2.2043799412824,1.29199562877869,1.62651610328239,0.004536,1.49450190063354e-05,0.00648033333333333,3.26605000555741e-05,0.00543966666666667,2.4263781149272e-05,100,1818.74230021243,"969","3292.016"
"22",0.005,1000,2,0.1,0.2,22,1.55284042183765,2.2043799412824,1.29199562877869,1.62651610328239,0.004536,1.49450190063354e-05,0.00648033333333333,3.26605000555741e-05,0.00543966666666667,2.4263781149272e-05,1000,1181.83636915905,"251","852.730666666667"
"23",0.005,1000,2,0.1,0.4,21,1.56478048912378,2.28275376472626,1.00836582940772,1.0157900805765,0.00422066666666667,1.45534907191286e-05,0.00605166666666667,3.09019645437368e-05,0.00407933333333333,1.6413177281316e-05,100,376.026823995812,"228","745.484"
"24",0.005,1000,2,0.1,0.4,21,1.56478048912378,2.28275376472626,1.00836582940772,1.0157900805765,0.00422066666666667,1.45534907191286e-05,0.00605166666666667,3.09019645437368e-05,0.00407933333333333,1.6413177281316e-05,1000,239.728155636531,"53","173.292333333333"
"25",0.005,10000,1.5,0.7,0.2,49,1.35629025848588,0.174501594670526,1.13126074108077,0.146193508286569,0.0049092,7.27129245748583e-06,0.00634526666666667,1.02851526464377e-05,0.00529673333333333,7.45783527398022e-06,100,803.243601101009,"799","801.397"
