"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,26,0.2,1.48409186807762,1.81096720712546,1.20464244368144,1.28197366335977,0.00486966666666667,1.96038811826164e-05,0.006564,3.81166095365122e-05,0.00539566666666667,2.91054830499055e-05,100,">=1000",">=1000"
"2",0.005,1000,1.5,0.7,26,0.2,1.48409186807762,1.81096720712546,1.20464244368144,1.28197366335977,0.00486966666666667,1.96038811826164e-05,0.006564,3.81166095365122e-05,0.00539566666666667,2.91054830499055e-05,1000,"174","359.542"
"3",0.005,1000,1.5,0.7,26,0.4,1.47705002517912,1.78917637093076,0.976167922525034,0.892881040320499,0.00499433333333333,1.90453163276648e-05,0.00666133333333333,3.87422189618762e-05,0.00449633333333333,1.95071556074247e-05,100,"314","636.268666666667"
"4",0.005,1000,1.5,0.7,26,0.4,1.47705002517912,1.78917637093076,0.976167922525034,0.892881040320499,0.00499433333333333,1.90453163276648e-05,0.00666133333333333,3.87422189618762e-05,0.00449633333333333,1.95071556074247e-05,1000,"47","95.2376666666667"
"5",0.005,1000,1.5,0.4,27,0.2,1.36565279849794,1.6213533471003,1.14871210677306,1.26115518885622,0.00451666666666667,1.69493720128932e-05,0.00571433333333333,3.05989275313994e-05,0.00477633333333333,2.26958718461709e-05,100,">=1000",">=1000"
"6",0.005,1000,1.5,0.4,27,0.2,1.36565279849794,1.6213533471003,1.14871210677306,1.26115518885622,0.00451666666666667,1.69493720128932e-05,0.00571433333333333,3.05989275313994e-05,0.00477633333333333,2.26958718461709e-05,1000,"240","665.76"
"7",0.005,1000,1.5,0.4,27,0.4,1.39376494419064,1.96027428357997,0.916789868291546,0.790136843981372,0.00465,1.89771590530177e-05,0.00573933333333333,3.09050212292987e-05,0.00395166666666667,1.67489135267311e-05,100,"392","1050.29866666667"
"8",0.005,1000,1.5,0.4,27,0.4,1.39376494419064,1.96027428357997,0.916789868291546,0.790136843981372,0.00465,1.89771590530177e-05,0.00573933333333333,3.09050212292987e-05,0.00395166666666667,1.67489135267311e-05,1000,"60","160.76"
"9",0.005,1000,1.5,0.1,40,0.2,1.07249809522263,1.1620787150925,0.912379301154069,0.855144219481347,0.004553,1.19405045015005e-05,0.00410066666666667,1.204121329332e-05,0.003568,9.67993597865955e-06,100,">=1000",">=1000"
"10",0.005,1000,1.5,0.1,40,0.2,1.07249809522263,1.1620787150925,0.912379301154069,0.855144219481347,0.004553,1.19405045015005e-05,0.00410066666666667,1.204121329332e-05,0.003568,9.67993597865955e-06,1000,"376","2448.26133333333"
"11",0.005,1000,1.5,0.1,40,0.4,1.08140223097691,1.13684573188368,0.763089929859766,0.641017431246407,0.00444333333333333,1.13885850839169e-05,0.00412866666666667,1.2870401689452e-05,0.00292966666666667,7.13643203289986e-06,100,"689","4341.61866666667"
