"","E_It","N","R0","k","inter_day","effect","mean_Rt0","var_Rt0","mean_Rt1","var_Rt1","mean_It","var_It","mean_It1_con","var_It1_con","mean_It1_trt","var_It1_trt","nsample","sufficient_ncluster","adjusted_sufficient_ncluster"
"1",0.005,1000,1.5,0.7,26,0.2,2.18510033687648,8.084837283673,1.26463164190304,3.25223382062783,0.00489266666666667,1.91895427364677e-05,0.00833833333333333,5.93062993219962e-05,0.00497066666666667,2.75076421029232e-05,100,"166","329.620666666667"
"2",0.005,1000,1.5,0.7,26,0.2,2.18510033687648,8.084837283673,1.26463164190304,3.25223382062783,0.00489266666666667,1.91895427364677e-05,0.00833833333333333,5.93062993219962e-05,0.00497066666666667,2.75076421029232e-05,1000,"55","109.211666666667"
"3",0.005,1000,1.5,0.7,26,0.4,2.21893653888906,8.82537014474259,0.610085159526561,1.06992481587344,0.00479333333333333,1.83534066911193e-05,0.00825666666666667,5.81875180615761e-05,0.00239866666666667,8.9153700122263e-06,100,"44","89.2026666666667"
"4",0.005,1000,1.5,0.7,26,0.4,2.21893653888906,8.82537014474259,0.610085159526561,1.06992481587344,0.00479333333333333,1.83534066911193e-05,0.00825666666666667,5.81875180615761e-05,0.00239866666666667,8.9153700122263e-06,1000,"12","24.328"
"5",0.005,1000,1.5,0.4,28,0.2,1.78190736494379,6.67844217298458,1.04856170099665,3.03243169507823,0.00460066666666667,1.73989992219629e-05,0.00624966666666667,3.80173390018895e-05,0.00367,1.59404134711571e-05,100,"220","587.326666666667"
"6",0.005,1000,1.5,0.4,28,0.2,1.78190736494379,6.67844217298458,1.04856170099665,3.03243169507823,0.00460066666666667,1.73989992219629e-05,0.00624966666666667,3.80173390018895e-05,0.00367,1.59404134711571e-05,1000,"63","168.189"
"7",0.005,1000,1.5,0.4,28,0.4,1.96078769305267,6.99958823464763,0.516451929443569,0.864290977797099,0.004493,1.60473001000333e-05,0.006523,3.71691940646882e-05,0.001897,6.36784694898299e-06,100,"57","149.701"
"8",0.005,1000,1.5,0.4,28,0.4,1.96078769305267,6.99958823464763,0.516451929443569,0.864290977797099,0.004493,1.60473001000333e-05,0.006523,3.71691940646882e-05,0.001897,6.36784694898299e-06,1000,"13","34.1423333333333"
"9",0.005,1000,1.5,0.1,43,0.2,0.925365746015823,2.42950029796351,0.552746337852607,0.963858137368417,0.00503933333333333,1.38837474713794e-05,0.00306066666666667,9.77491119261976e-06,0.00194866666666667,5.4798581749472e-06,100,"775","4453.40833333333"
"10",0.005,1000,1.5,0.1,43,0.2,0.925365746015823,2.42950029796351,0.552746337852607,0.963858137368417,0.00503933333333333,1.38837474713794e-05,0.00306066666666667,9.77491119261976e-06,0.00194866666666667,5.4798581749472e-06,1000,"100","574.633333333333"
"11",0.005,1000,1.5,0.1,43,0.4,0.923139792958882,2.4505936648824,0.321220616075967,0.464882123288203,0.00501866666666667,1.41163570078915e-05,0.00303966666666667,1.00474423696788e-05,0.00110466666666667,2.61124863843503e-06,100,"228","1334.104"
"12",0.005,1000,1.5,0.1,43,0.4,0.923139792958882,2.4505936648824,0.321220616075967,0.464882123288203,0.00501866666666667,1.41163570078915e-05,0.00303966666666667,1.00474423696788e-05,0.00110466666666667,2.61124863843503e-06,1000,"28","163.837333333333"
"13",0.005,1000,2,0.7,17,0.2,5.31713484586435,35.0585807531464,2.8384064667565,11.1936014215708,0.005082,2.11496592197399e-05,0.0191983333333333,0.000184434475380682,0.0111463333333333,8.89912503056574e-05,100,"68","102.566666666667"
"14",0.005,1000,2,0.7,17,0.2,5.31713484586435,35.0585807531464,2.8384064667565,11.1936014215708,0.005082,2.11496592197399e-05,0.0191983333333333,0.000184434475380682,0.0111463333333333,8.89912503056574e-05,1000,"39","58.825"
"15",0.005,1000,2,0.7,17,0.4,5.3434605513464,39.6115456507661,1.33877345763333,3.3110337367531,0.004919,1.9034117039013e-05,0.0188583333333333,0.000183432074580416,0.00543033333333333,3.10608335000556e-05,100,"19","28.7216666666667"
"16",0.005,1000,2,0.7,17,0.4,5.3434605513464,39.6115456507661,1.33877345763333,3.3110337367531,0.004919,1.9034117039013e-05,0.0188583333333333,0.000183432074580416,0.00543033333333333,3.10608335000556e-05,1000,"10","15.1166666666667"
"17",0.005,1000,2,0.4,19,0.2,4.32376166783632,27.9215918011611,2.41966996532005,10.0808361276954,0.00485266666666667,2.02437074580416e-05,0.0141696666666667,0.000108515718461709,0.00858866666666667,5.51238461709459e-05,100,"101","189.812666666667"
"18",0.005,1000,2,0.4,19,0.2,4.32376166783632,27.9215918011611,2.41966996532005,10.0808361276954,0.00485266666666667,2.02437074580416e-05,0.0141696666666667,0.000108515718461709,0.00858866666666667,5.51238461709459e-05,1000,"51","95.846"
"19",0.005,1000,2,0.4,19,0.4,4.22171063553584,26.4460901400789,1.17799712008496,3.1383048427499,0.004859,2.14622730910303e-05,0.0139263333333333,0.000108034251305991,0.004439,2.1946927975992e-05,100,"27","51.201"
"20",0.005,1000,2,0.4,19,0.4,4.22171063553584,26.4460901400789,1.17799712008496,3.1383048427499,0.004859,2.14622730910303e-05,0.0139263333333333,0.000108034251305991,0.004439,2.1946927975992e-05,1000,"12","22.756"
"21",0.005,1000,2,0.1,22,0.2,2.21367285998245,9.20502177809561,1.39646764973782,4.37131442997562,0.00431566666666667,1.51097244637101e-05,0.00643666666666667,2.98666110925864e-05,0.004272,1.72217565855285e-05,100,"314","1073.67066666667"
"22",0.005,1000,2,0.1,22,0.2,2.21367285998245,9.20502177809561,1.39646764973782,4.37131442997562,0.00431566666666667,1.51097244637101e-05,0.00643666666666667,2.98666110925864e-05,0.004272,1.72217565855285e-05,1000,"88","300.901333333333"
"23",0.005,1000,2,0.1,22,0.4,2.27788303037449,9.81776746897263,0.680636426782019,1.45282782726028,0.004493,1.62413647882628e-05,0.006662,3.07006562187396e-05,0.00235,7.90213404468156e-06,100,"70","226.38"
"24",0.005,1000,2,0.1,22,0.4,2.27788303037449,9.81776746897263,0.680636426782019,1.45282782726028,0.004493,1.62413647882628e-05,0.006662,3.07006562187396e-05,0.00235,7.90213404468156e-06,1000,"16","51.744"
"25",0.005,10000,1.5,0.7,50,0.2,2.02028250515451,1.23927025787159,1.1044832734097,0.338147861357907,0.00502196666666667,7.71682640769145e-06,0.00841353333333333,1.05629645037235e-05,0.00479913333333333,4.58422732466378e-06,100,"120","120.72"
"26",0.005,10000,1.5,0.7,50,0.2,2.02028250515451,1.23927025787159,1.1044832734097,0.338147861357907,0.00502196666666667,7.71682640769145e-06,0.00841353333333333,1.05629645037235e-05,0.00479913333333333,4.58422732466378e-06,1000,"21","21.126"
"27",0.005,10000,1.5,0.7,50,0.4,2.03895739075486,1.58065789403877,0.539806309625091,0.112060420633222,0.0050735,7.82547624208069e-06,0.00848256666666667,1.03092424930532e-05,0.00241243333333333,1.48429017561409e-06,100,"36","36.192"
"28",0.005,10000,1.5,0.7,50,0.4,2.03895739075486,1.58065789403877,0.539806309625091,0.112060420633222,0.0050735,7.82547624208069e-06,0.00848256666666667,1.03092424930532e-05,0.00241243333333333,1.48429017561409e-06,1000,"6","6.032"
"29",0.005,10000,1.5,0.4,69,0.2,1.45455361004042,1.73087612429261,0.816482647246202,0.471508802203475,0.0049297,7.32590321107036e-06,0.00525796666666667,4.42018325997555e-06,0.00308416666666667,1.93633808491719e-06,100,"244","253.028"
"30",0.005,10000,1.5,0.4,69,0.2,1.45455361004042,1.73087612429261,0.816482647246202,0.471508802203475,0.0049297,7.32590321107036e-06,0.00525796666666667,4.42018325997555e-06,0.00308416666666667,1.93633808491719e-06,1000,"35","36.295"
